DiseaseId,Disease_name
EFO_0000304,Breast Adenocarcinoma
EFO_0005772,Neurodegenerative Disease
EFO_0000519,Glioblastoma Multiforme
EFO_0000181,Head And Neck Squamous Cell Carcinoma
MONDO_0011962,Endometrial Cancer
MONDO_0008170,Ovarian Cancer
EFO_0000571,Lung Adenocarcinoma
EFO_0000389,Cutaneous Melanoma
MONDO_0004992,Cancer
EFO_0000616,Neoplasm
EFO_0000503,Gastric Adenocarcinoma
MONDO_0100096,Covid-19
MONDO_0004975,Alzheimer Disease
EFO_0000222,Acute Myeloid Leukemia
MONDO_0007254,Breast Cancer
EFO_0003060,Non-Small Cell Lung Carcinoma
MONDO_0008315,Prostate Cancer
EFO_0000708,Squamous Cell Lung Carcinoma
EFO_0001421,Liver Disease
EFO_0000673,Prostate Adenocarcinoma
MONDO_0007576,Esophageal Cancer
EFO_0001378,Multiple Myeloma
MONDO_0005301,Multiple Sclerosis
EFO_0003086,Kidney Disease
EFO_0000095,Chronic Lymphocytic Leukemia
MONDO_0005180,Parkinson Disease
EFO_1001951,Colorectal Carcinoma
EFO_0002618,Pancreatic Carcinoma
EFO_0000574,Lymphoma
MONDO_0001187,Urinary Bladder Cancer
EFO_0000198,Myelodysplastic Syndrome
MONDO_0008903,Lung Cancer
EFO_0000182,Hepatocellular Carcinoma
EFO_1000044,Pancreatic Adenocarcinoma
MONDO_0021637,Low Grade Glioma
EFO_0000756,Melanoma
EFO_0020092,Neuroinflammatory Disorder
MONDO_0024880,Metastatic Malignant Neoplasm
EFO_0000565,Leukemia
EFO_0000764,Hiv Infection
EFO_0000220,Acute Lymphoblastic Leukemia
EFO_0000702,Small Cell Lung Carcinoma
EFO_0000349,Clear Cell Renal Carcinoma
GO_0007568,Aging
EFO_0001073,Obesity
MONDO_0024622,Thyroid Gland Adenocarcinoma
EFO_0003884,Chronic Kidney Disease
EFO_0000621,Neuroblastoma
EFO_0003869,Breast Neoplasm
EFO_0000685,Rheumatoid Arthritis
EFO_0000403,Diffuse Large B-Cell Lymphoma
EFO_0003843,Pain
MONDO_0005090,Schizophrenia
MONDO_0005148,Type 2 Diabetes Mellitus
EFO_0005952,Non-Hodgkins Lymphoma
EFO_0001645,Coronary Artery Disease
MONDO_0001056,Gastric Cancer
MONDO_0002561,Lysosomal Storage Disease
EFO_0000305,Breast Carcinoma
EFO_1001480,Metastatic Colorectal Cancer
EFO_0000676,Psoriasis
EFO_0000365,Colorectal Adenocarcinoma
EFO_0000712,Stroke
EFO_0000681,Renal Cell Carcinoma
MONDO_0002009,Major Depressive Disorder
MONDO_0002158,Fallopian Tube Cancer
EFO_1000158,Central Nervous System Neoplasm
EFO_0006859,Head And Neck Malignant Neoplasia
MONDO_0002367,Kidney Cancer
MONDO_0002050,Depressive Disorder
EFO_1000657,Rectum Cancer
EFO_0000384,Crohn'S Disease
EFO_0000400,Diabetes Mellitus
EFO_1001469,Mantle Cell Lymphoma
MONDO_0007079,Alcohol Dependence
EFO_0009708,Metastasis
MONDO_0004979,Asthma
EFO_0000339,Chronic Myelogenous Leukemia
EFO_0001642,Lymphoid Neoplasm
EFO_0000546,Injury
EFO_0001075,Ovarian Carcinoma
EFO_0002517,Pancreatic Ductal Adenocarcinoma
EFO_0000691,Sarcoma
EFO_0005537,Triple-Negative Breast Cancer
EFO_0001361,Pulmonary Arterial Hypertension
MONDO_0004976,Amyotrophic Lateral Sclerosis
EFO_0002617,Metastatic Melanoma
EFO_0000537,Hypertension
EFO_0000341,Chronic Obstructive Pulmonary Disease
MONDO_0004985,Bipolar Disorder
EFO_0000612,Myocardial Infarction
MONDO_0021063,Malignant Colon Neoplasm
MONDO_0005147,Type 1 Diabetes Mellitus
EFO_0000183,Hodgkins Lymphoma
EFO_0002939,Medulloblastoma
EFO_0000313,Carcinoma
MONDO_0005277,Migraine Disorder
MONDO_0011382,Sickle Cell Anemia
MONDO_0002087,Peritoneum Cancer
MONDO_0018906,Follicular Lymphoma
EFO_1001465,Gliosarcoma
HP_0100543,Cognitive Impairment
EFO_0003833,Brain Neoplasm
EFO_0000707,Squamous Cell Carcinoma
EFO_0000729,Ulcerative Colitis
MONDO_0002974,Cervical Cancer
EFO_0000555,Irritable Bowel Syndrome
MONDO_0015686,Primary Peritoneal Carcinoma
HP_0000083,Renal Insufficiency
EFO_0001422,Cirrhosis Of Liver
HP_0000726,Dementia
EFO_0001663,Prostate Carcinoma
MONDO_0011719,Gastrointestinal Stromal Tumor
EFO_0005543,Glioma
EFO_0000588,Mesothelioma
EFO_0004142,Colorectal Neoplasm
MONDO_0005178,Osteoarthritis
EFO_0003929,Relapsing-Remitting Multiple Sclerosis
MONDO_0044903,Myelofibrosis
EFO_0005230,Anxiety
EFO_0000637,Osteosarcoma
EFO_1001968,Soft Tissue Sarcoma
EFO_0000196,Metastatic Prostate Cancer
EFO_0006861,Male Breast Carcinoma
EFO_0002610,Cocaine Dependence
EFO_1000616,Uveal Melanoma
EFO_0000274,Atopic Eczema
EFO_1001901,Neuroendocrine Neoplasm
EFO_0005762,Neuropathic Pain
EFO_0003767,Inflammatory Bowel Disease
MONDO_0002691,Liver Cancer
MONDO_0044881,Hematopoietic And Lymphoid Cell Neoplasm
EFO_0003144,Heart Failure
MONDO_0002108,Thyroid Cancer
EFO_0003768,Nicotine Dependence
HP_0002140,Ischemic Stroke
EFO_0000694,Severe Acute Respiratory Syndrome
EFO_0000326,Central Nervous System Cancer
MONDO_0019457,Therapy Related Acute Myeloid Leukemia And Myelodysplastic Syndrome
EFO_0004616,"Osteoarthritis, Knee"
EFO_1000783,Diabetic Neuropathy
EFO_0005672,Acute Coronary Syndrome
HP_0002315,Headache
EFO_0000640,Papillary Renal Cell Carcinoma
EFO_1001512,Endometrial Carcinoma
EFO_1001051,Mycosis Fungoides
EFO_0001065,Endometriosis
EFO_0005221,Cholangiocarcinoma
EFO_0001358,Post-Traumatic Stress Disorder
EFO_0000474,Epilepsy
EFO_0002429,Polycythemia Vera
EFO_0000768,Idiopathic Pulmonary Fibrosis
EFO_0000335,Chromophobe Renal Cell Carcinoma
EFO_0000096,Neoplasm Of Mature B-Cells
EFO_0003918,Obstructive Sleep Apnea
EFO_1000251,Fallopian Tube Carcinoma
EFO_0000401,Diabetic Nephropathy
HP_0012532,Chronic Pain
EFO_0003893,Ovarian Neoplasm
MP_0001914,Hemorrhage
HP_0003419,Low Back Pain
EFO_1001249,Non-Alcoholic Steatohepatitis
EFO_0005611,Opioid Dependence
EFO_1001919,Spinal Cord Injury
MONDO_0043510,Brain Injury
EFO_0000544,Infection
EFO_0004701,Methamphetamine Dependence
EFO_0004284,Upper Aerodigestive Tract Neoplasm
EFO_0000228,Adenocarcinoma
MONDO_0013730,Graft Versus Host Disease
EFO_0003968,Angiosarcoma
EFO_0004252,Nasopharyngeal Neoplasm
EFO_0008528,Urothelial Carcinoma
EFO_0009441,Waldenstrom Macroglobulinemia
EFO_0000180,Hiv-1 Infection
MONDO_0004986,Urinary Bladder Carcinoma
MP_0001845,Inflammation
EFO_0002950,Pregnancy
EFO_1000785,Sezary'S Disease
EFO_0002892,Thyroid Carcinoma
EFO_0003890,Drug Dependence
EFO_1000906,Dry Eye Syndrome
EFO_0003860,Pancreatic Neoplasm
EFO_0004220,Chronic Hepatitis C Virus Infection
EFO_0006544,Bladder Transitional Cell Carcinoma
EFO_0003761,Unipolar Depression
EFO_0000478,Esophageal Adenocarcinoma
EFO_0004888,Post Operative Nausea And Vomiting
EFO_0000195,Metabolic Syndrome
MONDO_0015277,Medullary Thyroid Gland Carcinoma
EFO_0004242,Obsessive-Compulsive Disorder
EFO_0004272,Anemia (Phenotype)
MONDO_0020547,Chronic Graft Versus Host Disease
EFO_0001074,Morbid Obesity
MONDO_0007915,Systemic Lupus Erythematosus
EFO_0003032,Anaplastic Large Cell Lymphoma
MONDO_0021117,Lung Neoplasm
EFO_0003888,Attention Deficit Hyperactivity Disorder
EFO_0005411,Schizoaffective Disorder
EFO_0000373,Congestive Heart Failure
MONDO_0007739,Huntington Disease
EFO_0002430,Primary Myelofibrosis
EFO_0000545,Infertility
EFO_0007191,Cannabis Dependence
EFO_1000026,Diffuse Intrinsic Pontine Glioma
EFO_1001375,Myocardial Ischemia
EFO_0003777,Heart Disease
EFO_0002499,Anaplastic Astrocytoma
EFO_0000275,Atrial Fibrillation
EFO_0008583,Acute Myocardial Infarction
MONDO_0005041,Glaucoma
EFO_0005687,Fibromyalgia
EFO_1000984,Inflammatory Breast Carcinoma
EFO_0003913,Angina Pectoris
MONDO_0020654,Renal Pelvis/Ureter Urothelial Carcinoma
EFO_0000569,Liposarcoma
EFO_1002048,Kidney Failure
